id,original_title,release_date,release_year,runtime,vote_average
353610,The Condemned 2,2015-11-06,2015,90,4.0
316410,Bound,2015-01-09,2015,90,3.1
106845,Re-Kill,2015-10-16,2015,87,4.7
339362,SuperBob,2015-10-16,2015,82,5.4
323966,A Hitman in London,2015-07-06,2015,97,4.6
354857,Regular Show: The Movie,2015-09-01,2015,70,7.4
333653,If There Be Thorns,2015-04-05,2015,0,5.4
323366,Pod,2015-03-16,2015,76,4.2
75861,To Write Love on Her Arms,2015-03-13,2015,118,6.9
283698,Hungry Hearts,2015-01-15,2015,109,6.2
363889,The Funhouse Massacre,2015-11-13,2015,90,6.1
329020,Extraordinary Tales,2015-10-23,2015,73,5.4
323272,War Room,2015-08-28,2015,120,6.9
343921,A Deadly Adoption,2015-06-20,2015,90,4.4
361671,Ellis,2015-10-04,2015,14,7.2
346494,Coconut Hero,2015-08-13,2015,101,7.4
321974,Janis: Little Girl Blue,2015-09-09,2015,106,7.5
363757,Io che amo solo te,2015-10-22,2015,102,5.2
328820,Unknown Caller,2015-06-10,2015,109,6.2
359255,The Inhabitants,2015-10-13,2015,90,3.5
355178,Amy Schumer: Live at the Apollo,2015-10-17,2015,57,7.5
310491,Glassland,2015-04-17,2015,93,3.5
319096,Whitney,2015-01-17,2015,90,4.7
285024,Heaven Knows What,2015-05-29,2015,94,6.9
